RECID=R2012111540000002	辵	chuò
RECID=R2012111540000072	边街	biān jiē
RECID=R2012111540000073	边道	biān dào
RECID=R2012111540000074	边缘	biān yuán
RECID=R2012111540000075	边缘科学	biān yuán kē xué
RECID=R2012111540000076	边幕	biān mù
RECID=R2012111540000077	边鄙	biān bǐ
RECID=R2012111540000078	边滩	biān tān
RECID=R2012111540000079	边塞	biān sài
RECID=R2012111540000080	边境	biān jìng
RECID=R2012111540000081	边寨	biān zhài
RECID=R2012111540000082	边僻	biān pì
RECID=R2012111540000083	边徼	biān jiào
RECID=R2012111540000084	边疆	biān jiāng
RECID=R2012111540000085	边	bian
RECID=R2012111540000086	迂	yū
RECID=R2012111540000087	迂士	yū shì
RECID=R2012111540000088	迂夫子	yū fū zǐ
RECID=R2012111540000089	迂见	yū jiàn
RECID=R2012111540000090	迂气	yū qì
RECID=R2012111540000091	迂执	yū zhí
RECID=R2012111540000092	迂曲	yū qū
RECID=R2012111540000093	迂回	yū huí
RECID=R2012111540000094	迂远	yū yuǎn
RECID=R2012111540000095	迂呆	yū dāi
RECID=R2012111540000096	迂拘	yū jū
RECID=R2012111540000097	迂拙	yū zhuō
RECID=R2012111540000098	迂陋	yū lòu
RECID=R2012111540000099	迂狭	yū xiá
RECID=R2012111540000100	迂徐	yū xú
RECID=R2012111540000101	迂晦	yū huì
RECID=R2012111540000102	迂阔	yū kuò
RECID=R2012111540000103	迂道	yūdào
RECID=R2012111540000104	迂缓	yū huǎn
RECID=R2012111540000105	迂腐	yūfǔ
RECID=R2012111540000106	迂儒	yū rú
RECID=R2012111540000107	迂磨	yū mo
RECID=R2012111540000108	过	guò
RECID=R2012111540000109	过人	guò rén
RECID=R2012111540000110	过刀山	guò dāo shān
RECID=R2012111540000111	过于	guò yú
RECID=R2012111540000112	过山车	guò shān chē
RECID=R2012111540000113	过山炮	guò shān pào
RECID=R2012111540000114	过山跳	guò shān tiào
RECID=R2012111540000115	过门	guò mén
RECID=R2012111540000116	过五关	guò wǔ guān
RECID=R2012111540000117	过五关斩六将	guò wǔ guān zhǎn jiù jiàng
RECID=R2012111540000118	过厅	guò tīng
RECID=R2012111540000119	过不去	guò bu qù
RECID=R2012111540000120	过切	guò qiè
RECID=R2012111540000121	过日	guò rì
RECID=R2012111540000122	过日子	guò rì zi
RECID=R2012111540000123	过日脚	guò rì jiǎo
RECID=R2012111540000124	过水	guò shuǐ
RECID=R2012111540000125	过午	guò wǔ
RECID=R2012111540000126	过手	guò shǒu
RECID=R2012111540000127	过手货	guò shǒu huò
RECID=R2012111540000128	过气	guò qì
RECID=R2012111540000129	过化	guò huā
RECID=R2012111540000130	过从	guò cóng
RECID=R2012111540000131	过分	guò fèn
RECID=R2012111540000132	过火	guò huǒ
RECID=R2012111540000133	过斗	guò dǒu
RECID=R2012111540000134	过户	guò hù
RECID=R2012111540000135	过心	guò xīn
RECID=R2012111540000136	过去	guò qù
RECID=R2012111540000137	过世	guò shì
RECID=R2012111540000138	过节	guò jié
RECID=R2012111540000139	过目	guò mù
RECID=R2012111540000140	过目不忘	guò mù bù wàng
RECID=R2012111540000141	过目成诵	guò mù chéng sòng
RECID=R2012111540000142	过电影	guò diàn yǐng
RECID=R2012111540000143	过失	guò shī
RECID=R2012111540000144	过付	guò fù
RECID=R2012111540000145	过犯	guò fàn
RECID=R2012111540000146	过冬	guò dōng
RECID=R2012111540000147	过市	guò shì
RECID=R2012111540000148	过半	guò bàn
RECID=R2012111540000149	过头	guò tóu
RECID=R2012111540000150	过头话	guò tóu huà
RECID=R2012111540000151	过礼	guò lǐ
RECID=R2012111540000152	过边	guò biān
RECID=R2012111540000153	过考	guò kǎo
RECID=R2012111540000154	过场	guò chǎng
RECID=R2012111540000155	过场戏	guò chǎng xì
RECID=R2012111540000156	过死	guò sǐ
RECID=R2012111540000157	过轨	guò guǐ
RECID=R2012111540000158	过当	guò dàng
RECID=R2012111540000159	过早	guò zǎo
RECID=R2012111540000160	过年	guò nián
RECID=R2012111540000161	过先	guò xiān
RECID=R2012111540000162	过份	guò fèn
RECID=R2012111540000163	过后	guò hòu
RECID=R2012111540000164	过负荷	guò fù hè
RECID=R2012111540000165	过问	guò wèn
RECID=R2012111540000166	过关	guò guān
RECID=R2012111540000167	过关斩将	guò guān zhǎn jiàng
RECID=R2012111540000168	过关契	guò guān qì
RECID=R2012111540000169	过江之鲫	guò jiāng zhī jì
RECID=R2012111540000170	过江龙	guò jiāng lóng
RECID=R2012111540000171	过论	guò lùn
RECID=R2012111540000172	过访	guò fǎng
RECID=R2012111540000173	过寿	guò shòu
RECID=R2012111540000174	过形	guò xíng
RECID=R2012111540000175	过来	guò lái
RECID=R2012111540000176	过来人	guò lái rén
RECID=R2012111540000177	过来过去	guò lái guò qù
RECID=R2012111540000178	过时	guò shí
RECID=R2012111540000179	过身	guò shēn
RECID=R2012111540000180	过余	guò yú
RECID=R2012111540000181	过犹不及	guò yóu bù jí
RECID=R2012111540000182	过劲	guò jìn
RECID=R2012111540000183	过驳	guò bó
RECID=R2012111540000184	过拂	guò fú
RECID=R2012111540000185	过板	guò bǎn
RECID=R2012111540000186	过事	guò shì
RECID=R2012111540000187	过账	guò zhàng
RECID=R2012111540000188	过往	guò wǎng
RECID=R2012111540000189	过咎	guò jiù
RECID=R2012111540000190	过夜	guò yè
RECID=R2012111540000191	过河拆桥	guò hé chāi qiáo
RECID=R2012111540000192	过河卒子	guò hé zú zi
RECID=R2012111540000193	过房	guò fáng
RECID=R2012111540000194	过话	guò huà
RECID=R2012111540000195	过录	guò lù
RECID=R2012111540000196	过经过脉	guò jīng guò mài
RECID=R2012111540000197	过甚	guò shèn
RECID=R2012111540000198	过甚其词	guò shèn qí cí
RECID=R2012111540000199	过甚其辞	guò shèn qí cí
RECID=R2012111540000200	过重	guò zhòng
RECID=R2012111540000201	过信	guò xìn
RECID=R2012111540000202	过奖	guò jiǎng
RECID=R2012111540000203	过度	guò dù
RECID=R2012111540000204	过活	guò huò
RECID=R2012111540000205	过客	guò kè
RECID=R2012111540000206	过误	guò wù
RECID=R2012111540000207	过载	guò zài
RECID=R2012111540000208	过逝	guò shì
RECID=R2012111540000209	过热	guò rè
RECID=R2012111540000210	过恶	guò è
RECID=R2012111540000211	过桥抽板	guò qiáo chōu bǎn
RECID=R2012111540000212	过格	guò gé
RECID=R2012111540000213	过虑	guò lǜ
RECID=R2012111540000214	过晌	guò shǎng
RECID=R2012111540000215	过钱	guò qián
RECID=R2012111540000216	过秤	guò chèng
RECID=R2012111540000217	过称	guò chèng
RECID=R2012111540000218	过爱	guò ài
RECID=R2012111540000219	过站	guò zhàn
RECID=R2012111540000220	过家	guò jiā
RECID=R2012111540000221	过家家	guò jiā jia
RECID=R2012111540000222	过继	guò jì
RECID=R2012111540000223	过奢	guò shē
RECID=R2012111540000224	过堂	guò táng
RECID=R2012111540000225	过堂风	guò tóng fēng
RECID=R2012111540000226	过堂屋	guò táng wū
RECID=R2012111540000227	过眼	guò yǎn
RECID=R2012111540000228	过眼云烟	guò yǎn yún yān
RECID=R2012111540000229	过眼烟云	guò yǎn yān yún
RECID=R2012111540000230	过敏	guò mǐn
RECID=R2012111540000231	过得	guò de
RECID=R2012111540000232	过得去	guò de qù
RECID=R2012111540000233	过得硬	guò de yìng
RECID=R2012111540000234	过斛	guò hú
RECID=R2012111540000235	过望	guò wàng
RECID=R2012111540000236	过梁	guò liáng
RECID=R2012111540000237	过宿	guò sù
RECID=R2012111540000238	过宿债	guò xiǔ zhài
RECID=R2012111540000239	过屠大嚼	guò tú dà jué
RECID=R2012111540000240	过屠门而大嚼	guò tú mén ér dà jué
RECID=R2012111540000241	过期	guò qī
RECID=R2012111540000242	过硬	guò yìng
RECID=R2012111540000243	过辈	guò bèi
RECID=R2012111540000244	过量	guò liàng
RECID=R2012111540000245	过景	guò jǐng
RECID=R2012111540000246	过剩	guò shèng
RECID=R2012111540000247	过程	guò chéng
RECID=R2012111540000248	过筛	guò shāi
RECID=R2012111540000249	过筛子	guò shāi zi
RECID=R2012111540000250	过筋过脉	guò jīn guò mài
RECID=R2012111540000251	过街天桥	guò jiē tiān qiáo
RECID=R2012111540000252	过街老鼠	guò jiē lǎo shǔ
RECID=R2012111540000253	过街楼	guò jiē lóu
RECID=R2012111540000254	过街溜	guò jiē liù
RECID=R2012111540000255	过逾	guò yu
RECID=R2012111540000256	过番	guò fān
RECID=R2012111540000257	过羡	guò xiàn
RECID=R2012111540000258	过道	guò dào
RECID=R2012111540000259	过道风	guò dào fēng
RECID=R2012111540000260	过渡	guò dù
RECID=R2012111540000261	过割	guò gē
RECID=R2012111540000262	过谦	guò qiān
RECID=R2012111540000263	过隙驹	guò xì jū
RECID=R2012111540000264	过楼	guò lóu
RECID=R2012111540000265	过路	guò lù
RECID=R2012111540000266	过路财神	guò lù cái shén
RECID=R2012111540000267	过错	guò cuò
RECID=R2012111540000268	过意	guò yì
RECID=R2012111540000269	过意不去	guò yì bù qù
RECID=R2012111540000270	过粮	guò liáng
RECID=R2012111540000271	过数	guò shù
RECID=R2012111540000272	过滤	guò lǜ
RECID=R2012111540000273	过滤嘴	guò lǜ zuǐ
RECID=R2012111540000274	过誉	guò yù
RECID=R2012111540000275	过境	guò jìng
RECID=R2012111540000276	过磅	guò bàng
RECID=R2012111540000277	过瘾	guò yǐn
RECID=R2012111540000278	过激	guò jī
RECID=R2012111540000279	过磷酸钙	guò lín suān gài
RECID=R2012111540000280	过露	guò lù
RECID=R2012111540000281	过	guō
RECID=R2012111540000282	达	dá
RECID=R2012111540000283	达月	dá yuè
RECID=R2012111540000284	达旦	dá dàn
RECID=R2012111540000285	达达	dá dá
RECID=R2012111540000286	达成	dá chéng
RECID=R2012111540000287	达因	dá yīn
RECID=R2012111540000288	达观	dá guān
RECID=R2012111540000289	达坂	dá bǎn
RECID=R2012111540000290	达到	dá dào
RECID=R2012111540000291	达官	dá guān
RECID=R2012111540000292	达官贵人	dá guān guì rén
RECID=R2012111540000293	达官显宦	dá guān xiǎn huàn
RECID=R2012111540000294	达姆弹	dá mǔ dàn
RECID=R2012111540000295	达标	dá biāo
RECID=R2012111540000296	达览	dá lǎn
RECID=R2012111540000297	达哈	dá hā
RECID=R2012111540000298	达奚	dá xī
RECID=R2012111540000299	达理	dá lǐ
RECID=R2012111540000300	达道	dá dào
RECID=R2012111540000301	达意	dá yì
RECID=R2012111540000302	达斡尔族	dá wò ěr zú
RECID=R2012111540000303	迈	mài
RECID=R2012111540000304	迈开	mài kāi
RECID=R2012111540000305	迈当	mài dāng
RECID=R2012111540000306	迈进	mài jìn
RECID=R2012111540000307	迈步	mài bù
RECID=R2012111540000308	迈往	mài wǎng
RECID=R2012111540000309	辿	chān
RECID=R2012111540000310	迁	qiān
RECID=R2012111540000311	迁飞	qiān fēi
RECID=R2012111540000312	迁化	qiān huà
RECID=R2012111540000313	迁让	qiān ràng
RECID=R2012111540000314	迁地	qiān dì
RECID=R2012111540000315	迁回	qiān huí
RECID=R2012111540000316	迁延	qiān yán
RECID=R2012111540000317	迁变	qiān biàn
RECID=R2012111540000318	迁建	qiān jiàn
RECID=R2012111540000319	迁居	qiān jū
RECID=R2012111540000320	迁项	qiān xiàng
RECID=R2012111540000321	迁怨	qiān yuàn
RECID=R2012111540000322	迁客	qiān kè
RECID=R2012111540000323	迁怒	qiān nù
RECID=R2012111540000324	迁都	qiān dū
RECID=R2012111540000325	迁离	qiān lí
RECID=R2012111540000326	迁流	qiān liú
RECID=R2012111540000327	迁调	qiān diào
RECID=R2012111540000328	迁移	qiān yí
RECID=R2012111540000329	迁徙	qiān xǐ
RECID=R2012111540000330	迁惹	qiān rě
RECID=R2012111540000331	迁葬	qiān zàng
RECID=R2012111540000332	迁就	qiān jiù
RECID=R2012111540000333	迁谪	qiān zhé
RECID=R2012111540000334	迁避	qiān bì
RECID=R2012111540000335	迄	qì
RECID=R2012111540000336	迄今	qì jīn
RECID=R2012111540000337	迅	xùn
RECID=R2012111540000338	迅步	xùn bù
RECID=R2012111540000339	迅快	xùn kuài
RECID=R2012111540000340	迅即	xùn jí
RECID=R2012111540000341	迅忽	xùn hū
RECID=R2012111540000342	迅急	xùn jí
RECID=R2012111540000343	迅速	xùn sù
RECID=R2012111540000344	迅烈	xùn liè
RECID=R2012111540000345	迅疾	xùn jí
RECID=R2012111540000346	迅捷	xùn jié
RECID=R2012111540000347	迅猛	xùn měng
RECID=R2012111540000348	迅跑	xùn pǎo
RECID=R2012111540000349	迅湍	xùn tuān
RECID=R2012111540000350	迅雷	xùn léi
RECID=R2012111540000351	迅雷不及掩耳	xùn léi bù jí yǎn ěr
RECID=R2012111540000352	迆	
RECID=R2012111540000353	巡	xún
RECID=R2012111540000354	巡丁	xún dīng
RECID=R2012111540000355	巡士	xún shì
RECID=R2012111540000356	巡弋	xún yì
RECID=R2012111540000357	巡天	xún tiān
RECID=R2012111540000358	巡长	xún zhǎng
RECID=R2012111540000359	巡风	xún fēng
RECID=R2012111540000360	巡礼	xún lǐ
RECID=R2012111540000361	巡场	xún chǎng
RECID=R2012111540000362	巡回	xún huí
RECID=R2012111540000363	巡回大使	xún huí dà shǐ
RECID=R2012111540000364	巡行	xún xíng
RECID=R2012111540000365	巡访	xún fǎng
RECID=R2012111540000366	巡防	xún fáng
RECID=R2012111540000367	巡抚	xún fǔ
RECID=R2012111540000368	巡更	xún gēng
RECID=R2012111540000369	巡诊	xún zhěn
RECID=R2012111540000370	巡幸	xún xìng
RECID=R2012111540000371	巡夜	xún yè
RECID=R2012111540000372	巡卒	xún zú
RECID=R2012111540000373	巡官	xún guān
RECID=R2012111540000374	巡视	xún shì
RECID=R2012111540000375	巡按	xún àn
RECID=R2012111540000376	巡查	xún chá
RECID=R2012111540000377	巡省	xún xǐng
RECID=R2012111540000378	巡看	xún kàn
RECID=R2012111540000379	巡狩	xún shòu
RECID=R2012111540000380	巡洋舰	xún yáng jiàn
RECID=R2012111540000381	巡绕	xún rào
RECID=R2012111540000382	巡捕	xún bǔ
RECID=R2012111540000383	巡捕房	xún bǔ fáng
RECID=R2012111540000384	巡哨	xún shào
RECID=R2012111540000385	巡航	xún háng
RECID=R2012111540000386	巡航导弹	xún háng dǎo dán
RECID=R2012111540000387	巡阅	xún yuè
RECID=R2012111540000388	巡阅使	xún yuè shǐ
RECID=R2012111540000389	巡酒	xún jiǔ
RECID=R2012111540000390	巡展	xún zhǎn
RECID=R2012111540000391	巡检	xún jiǎn
RECID=R2012111540000392	巡梭	xún suō
RECID=R2012111540000393	巡逻	xún luó
RECID=R2012111540000394	巡逻哨	xún luó shào
RECID=R2012111540000395	巡逻艇	xún luó tǐng
RECID=R2012111540000396	巡船	xún chuán
RECID=R2012111540000397	巡睃	xún suō
RECID=R2012111540000398	巡道	xún dào
RECID=R2012111540000399	巡游	xún yóu
RECID=R2012111540000400	巡缉	xún jī
RECID=R2012111540000401	巡督	xún dū
RECID=R2012111540000402	巡锡	xún xī
RECID=R2012111540000403	巡演	xún yǎn
RECID=R2012111540000404	巡察	xún chá
RECID=R2012111540000405	巡警	xún jǐng
RECID=R2012111540000406	进	jìn
RECID=R2012111540000407	进一步	jīn yī bù
RECID=R2012111540000408	进一层	jìn yī céng
RECID=R2012111540000409	进入	jìn rù
RECID=R2012111540000410	进刀	jìn dāo
RECID=R2012111540000411	进士	jìn shì
RECID=R2012111540000412	进土	jìn tǔ
RECID=R2012111540000413	进口	jìn kǒu
RECID=R2012111540000414	进口货	jìn kǒu huò
RECID=R2012111540000415	进门	jìn mén
RECID=R2012111540000416	进门女婿	jìn mén nǚ xu
RECID=R2012111540000417	进门彩	jìn mén cǎi
RECID=R2012111540000418	进门喜	jìn mén xǐ
RECID=R2012111540000419	进水闸	jìn shuǐ zhá
RECID=R2012111540000420	进见	jìn jiàn
RECID=R2012111540000421	进见礼	jìn jiàn lǐ
RECID=R2012111540000422	进升	jìn shēng
RECID=R2012111540000423	进化	jìn huà
RECID=R2012111540000424	进化论	jìn huà lùn
RECID=R2012111540000425	进尺	jìn chǐ
RECID=R2012111540000426	进击	jìn jī
RECID=R2012111540000427	进扑	jìn pū
RECID=R2012111540000428	进功	jìn gōng
RECID=R2012111540000429	进去	jìn qù
RECID=R2012111540000430	进本	jìn běn
RECID=R2012111540000431	进占	jìn zhàn
RECID=R2012111540000432	进犯	jìn fàn
RECID=R2012111540000433	进出	jìn chū
RECID=R2012111540000434	进出口	jìn chū kǒu
RECID=R2012111540000435	进出口贸易	jìn chū kǒu mào yì
RECID=R2012111540000436	进发	jìn fā
RECID=R2012111540000437	进动	jìn dòng
RECID=R2012111540000438	进而	jìn ér
RECID=R2012111540000439	进当	jìn dàng
RECID=R2012111540000440	进向	jìn xiàng
RECID=R2012111540000441	进行	jìn xíng
RECID=R2012111540000442	进行曲	jìn xíng qǔ
RECID=R2012111540000443	进行性	jìn xíng xìng
RECID=R2012111540000444	进庄	jìn zhuāng
RECID=R2012111540000445	进军	jìn jūn
RECID=R2012111540000446	进军号	jìn jūn hào
RECID=R2012111540000447	进级	jìn jí
RECID=R2012111540000448	进进	jìn jìn
RECID=R2012111540000449	进扰	jìn rǎo
RECID=R2012111540000450	进贡	jìn gòng
RECID=R2012111540000451	进攻	jìn gōng
RECID=R2012111540000452	进克	jìn kè
RECID=R2012111540000453	进来	jìn lái
RECID=R2012111540000454	进步	jìn bù
RECID=R2012111540000455	进呈	jìn chéng
RECID=R2012111540000456	进帐	jìn zhàng
RECID=R2012111540000457	进针	jìn zhēn
RECID=R2012111540000458	进兵	jìn bīng
RECID=R2012111540000459	进位	jìn wèi
RECID=R2012111540000460	进身	jìn shēn
RECID=R2012111540000461	进言	jìn yán
RECID=R2012111540000462	进究	jìn jiū
RECID=R2012111540000463	进补	jìn bǔ
RECID=R2012111540000464	进奉	jìn fèng
RECID=R2012111540000465	进规	jìn guī
RECID=R2012111540000466	进抵	jìn dǐ
RECID=R2012111540000467	进取	jìn qǔ
RECID=R2012111540000468	进账	jìn zhàng
RECID=R2012111540000469	进图	jìn tú
RECID=R2012111540000470	进货	jìn huò
RECID=R2012111540000471	进迫	jìn pò
RECID=R2012111540000472	进征	jìn zhēng
RECID=R2012111540000473	进舍女婿	jìn shè nǚ xu
RECID=R2012111540000474	进股	jìn gǔ
RECID=R2012111540000475	进学	jìn xué
RECID=R2012111540000476	进驻	jìn zhù
RECID=R2012111540000477	进项	jìn xiang
RECID=R2012111540000478	进城	jìn chéng
RECID=R2012111540000479	进香	jìn xiāng
RECID=R2012111540000480	进修	jìn xiū
RECID=R2012111540000481	进食	jìn shí
RECID=R2012111540000482	进度	jìn dù
RECID=R2012111540000483	进前	jìn qián
RECID=R2012111540000484	进退	jìn tuì
RECID=R2012111540000485	进退为难	jìn tuì wéi nán
RECID=R2012111540000486	进退失据	jìn tuì shī jù
RECID=R2012111540000487	进退两难	jìn tuìliǎng nán
RECID=R2012111540000488	进退维谷	jìn tuì wéi gǔ
RECID=R2012111540000489	进屋	jìn wū
RECID=R2012111540000490	进给量	jìn jǐ liàng
RECID=R2012111540000491	进钱	jìn qián
RECID=R2012111540000492	进站	jìn zhàn
RECID=R2012111540000493	进益	jìn yì
RECID=R2012111540000494	进酒	jìn jiǔ
RECID=R2012111540000495	进展	jìn zhǎn
RECID=R2012111540000496	进教	jìn jiào
RECID=R2012111540000497	进据	jìn jù
RECID=R2012111540000498	进梅	jìn méi
RECID=R2012111540000499	进袭	jìn xí
RECID=R2012111540000500	进脯	jìn fǔ
RECID=R2012111540000501	进率	jìn lǜ
RECID=R2012111540000502	进深	jìn shēn
RECID=R2012111540000503	进寇	jìn kòu
RECID=R2012111540000504	进谏	jìn jiàn
RECID=R2012111540000505	进谒	jìn yè
RECID=R2012111540000506	进谗	jìn chán
RECID=R2012111540000507	进款	jìn kuǎn
RECID=R2012111540000508	进逼	jìn bī
RECID=R2012111540000509	进程	jìn chéng
RECID=R2012111540000510	进献	jìn xiàn
RECID=R2012111540000511	进路	jìn lù
RECID=R2012111540000512	进窥	jìn kuī
RECID=R2012111540000513	进剿	jìn jiǎo
RECID=R2012111540000514	进境	jìn jìng
RECID=R2012111540000515	进餐	jìn cān
RECID=R2012111540000516	进膳	jìn shàn
RECID=R2012111540000517	进爵	jìn jué
RECID=R2012111540000518	远	yuǎn
RECID=R2012111540000519	远人	yuǎn rén
RECID=R2012111540000520	远大	yuǎn dà
RECID=R2012111540000521	远山	yuǎn shān
RECID=R2012111540000522	远门	yuǎn mén
RECID=R2012111540000523	远天	yuǎn tiān
RECID=R2012111540000524	远天远地	yuǎn tiān yuǎn dì
RECID=R2012111540000525	远支	yuǎn zhī
RECID=R2012111540000526	远水不救近火	yuǎn shuǐ bù jiù jìn huǒ
RECID=R2012111540000527	远水解不了近渴	yuǎn shuǐ jiě bù liǎo jìn kě
RECID=R2012111540000528	远见	yuǎn jiàn
RECID=R2012111540000529	远见卓识	yuǎn jiàn zhuó shí
RECID=R2012111540000530	远方	yuǎn fāng
RECID=R2012111540000531	远古	yuǎn gǔ
RECID=R2012111540000532	远东	yuǎn dōng
RECID=R2012111540000533	远处	yuǎn chù
RECID=R2012111540000534	远地	yuǎn dì
RECID=R2012111540000535	远扬	yuǎn yáng
RECID=R2012111540000536	远在天边，近在眼前	yuǎn zài tiān biān jìn zài yǎn qián
RECID=R2012111540000537	远因	yuǎn yīn
RECID=R2012111540000538	远年	yuǎn nián
RECID=R2012111540000539	远先	yuǎn xiān
RECID=R2012111540000540	远行	yuǎn xíng
RECID=R2012111540000541	远交近攻	yuǎn jiāo jìn gōng
RECID=R2012111540000542	远走高飞	yuǎn zǒu gāo fēi
RECID=R2012111540000543	远志	yuǎn zhì
RECID=R2012111540000544	远足	yuǎn zú
RECID=R2012111540000545	远近	yuǎn jìn
RECID=R2012111540000546	远识	yuǎn shí
RECID=R2012111540000547	远昔	yuǎn xī
RECID=R2012111540000548	远到	yuǎn dào
RECID=R2012111540000549	远征	yuǎn zhēng
RECID=R2012111540000550	远念	yuǎn niàn
RECID=R2012111540000551	远朋	yuǎn péng
RECID=R2012111540000552	远郊	yuǎn jiāo
RECID=R2012111540000553	远房	yuǎn fáng
RECID=R2012111540000554	远视	yuǎn shì
RECID=R2012111540000555	远适	yuǎn shì
RECID=R2012111540000556	远亲	yuǎn qīn
RECID=R2012111540000557	远亲不如近邻	yuǎn qīn bù rú jín lín
RECID=R2012111540000558	远洋	yuǎn yáng
RECID=R2012111540000559	远洋捕捞	yuǎn yáng bǔ lāo
RECID=R2012111540000560	远客	yuǎn kè
RECID=R2012111540000561	远祖	yuǎn zǔ
RECID=R2012111540000562	远虑	yuǎn lǜ
RECID=R2012111540000563	远航	yuǎn háng
RECID=R2012111540000564	远离	yuǎn lí
RECID=R2012111540000565	远涉	yuǎn shè
RECID=R2012111540000566	远袭	yuǎn xí
RECID=R2012111540000567	远眺	yuǎn tiào
RECID=R2012111540000568	远略	yuǎn luè
RECID=R2012111540000569	远兜转	yuǎn dōu zhuǎn
RECID=R2012111540000570	远族	yuǎn zú
RECID=R2012111540000571	远望	yuǎn wàng
RECID=R2012111540000572	远情	yuǎn qíng
RECID=R2012111540000573	远谋	yuǎn móu
RECID=R2012111540000574	远谋深算	yuǎn móu shēn suàn
RECID=R2012111540000575	远景	yuǎn jǐng
RECID=R2012111540000576	远程	yuǎn chéng
RECID=R2012111540000577	远游	yuǎn yóu
RECID=R2012111540000578	远道	yuǎn dào
RECID=R2012111540000579	远遐	yuǎn xiá
RECID=R2012111540000580	远想	yuǎn xiǎng
RECID=R2012111540000581	远路	yuǎn lù
RECID=R2012111540000582	远遥	yuǎn yáo
RECID=R2012111540000583	远嫁	yuǎn jià
RECID=R2012111540000584	远播	yuǎn bō
RECID=R2012111540000585	远僻	yuǎn pì
RECID=R2012111540000586	远瞩	yuǎn zhǔ
RECID=R2012111540000587	远	yuǎn;yuàn
RECID=R2012111540000588	远开	yuǎn kāi
RECID=R2012111540000589	远背	yuǎn bèi
RECID=R2012111540000590	远害	yuǎn hài
RECID=R2012111540000591	远祸	yuǎn huò
RECID=R2012111540000592	违	wéi
RECID=R2012111540000593	违反	wéi fǎn
RECID=R2012111540000594	违心	wéi xīn
RECID=R2012111540000595	违犯	wéi fàn
RECID=R2012111540000596	违农	wéi nóng
RECID=R2012111540000597	违异	wéi yì
RECID=R2012111540000598	违约	wéi yuē
RECID=R2012111540000599	违约金	wéi yuē jīn
RECID=R2012111540000600	违纪	wéi jì
RECID=R2012111540000601	违抗	wéi kàng
RECID=R2012111540000602	违忤	wéi wǔ
RECID=R2012111540000603	违规	wéi guī
RECID=R2012111540000604	违拂	wéi fú
RECID=R2012111540000605	违拗	wéi ào
RECID=R2012111540000606	违制	wéi zhì
