RECID=R2012111530000002	一	yī
RECID=R2012111530000059	一个女婿半个儿	yī ge nǚ xu bàn ge ér
RECID=R2012111530000060	一个心眼	yī ge xīn yǎn
RECID=R2012111530000061	一个巴掌拍不响	yī ge bā zhang pāi bù xiǎng
RECID=R2012111530000062	一个老鼠坏了一锅汤	yī ge lǎo shǔ huài le yī guō tāng
RECID=R2012111530000063	一个老鼠害一锅汤	yī ge lǎo shǔ hài yī guō tāng
RECID=R2012111530000064	一个汗珠摔八瓣儿	yī ge hàn zhū shuāi bā bànr
RECID=R2012111530000065	一个好汉三个帮	yī ge hǎo hàn sān ge bāng
RECID=R2012111530000066	一个劲	yī ge jìn
RECID=R2012111530000067	一个冤家一堵山	yī ge yuān jia yī dǔ shān
RECID=R2012111530000068	一个萝卜一个坑	yī ge luó bo yī ge kēng
RECID=R2012111530000069	一个萝卜两头切	yī ge luó bo liǎng tóu qiē
RECID=R2012111530000070	一个萝卜顶三个坑	yī ge luó bo dǐng sān ge kēng
RECID=R2012111530000071	一勺烩	yī sháo huì
RECID=R2012111530000072	一门心思	yī mén xīn sī
RECID=R2012111530000073	一之谓甚	yī zhī wèi shèn
RECID=R2012111530000074	一己	yī jǐ
RECID=R2012111530000075	一马不行百马忧	yī mǎ bù xíng bǎi mǎ yōu
RECID=R2012111530000076	一马平川	yī mǎ píng chuān
RECID=R2012111530000077	一马当先	yī mǎ dāng xiān
RECID=R2012111530000078	一马脱辔，百马难追	yī mǎ tuō pèi bǎi mǎ nán zhuī
RECID=R2012111530000079	一天	yī tiān
RECID=R2012111530000080	一天世界	yī tiān shì jiè
RECID=R2012111530000081	一天到晚	yī tiān dào wǎn
RECID=R2012111530000082	一夫当关，万夫莫开	yī fū dāng guān wàn fū mò kāi
RECID=R2012111530000083	一无	yī wú
RECID=R2012111530000084	一无所有	yī wú suǒ yǒu
RECID=R2012111530000085	一无所知	yī wú suǒ zhī
RECID=R2012111530000086	一无所能	yī wú suǒ néng
RECID=R2012111530000087	一无是处	yī wú shì chù
RECID=R2012111530000088	一元化	yī yuán huà
RECID=R2012111530000089	一元论	yī yuán lùn
RECID=R2012111530000090	一元复始	yī yuán fù shǐ
RECID=R2012111530000091	一专多能	yī zhuān duō néng
RECID=R2012111530000092	一扎脚儿	yī zhā jiǎor
RECID=R2012111530000093	一木难支	yī mù nán zhī
RECID=R2012111530000094	一五一十	yī wǔ yī shí
RECID=R2012111530000095	一支香	yī zhī xiāng
RECID=R2012111530000096	一不作，二不休	yī bù zuò èr bù xiū
RECID=R2012111530000097	一不做，二不休	yī bù zuò èr bù xiū
RECID=R2012111530000098	一不溜	yī bù liū
RECID=R2012111530000099	一犬吠形，百犬吠声	yī quǎn fèi xíng bǎi quǎn fèi shēng
RECID=R2012111530000100	一犬吠影，百犬吠声	yī quǎn fèi yǐng bǎi quǎn fèi shēng
RECID=R2012111530000101	一历历	yī lì lì
RECID=R2012111530000102	一切	yī qiè
RECID=R2012111530000103	一日	yī rì
RECID=R2012111530000104	一日三，三日九	yī rì sān sān rì jiǔ
RECID=R2012111530000105	一日三秋	yī rì sān qiū
RECID=R2012111530000106	一日千丈	yī rì qiān zhàng
RECID=R2012111530000107	一日千里	yī rì qiān lǐ
RECID=R2012111530000108	一日之长	yī rì zhī cháng
RECID=R2012111530000109	一日之雅	yī rì zhī yǎ
RECID=R2012111530000110	一日夫妻百日恩	yī rì fū qī bǎi rì ēn
RECID=R2012111530000111	一日不见，如隔三秋	yī rì bù jiàn rú gé sān qiū
RECID=R2012111530000112	一日为师，终身如父	yī rì wéi shī zhōng shēn rú fù
RECID=R2012111530000113	一水儿	yī shuǐr
RECID=R2012111530000114	一见如故	yī jiàn rú gù
RECID=R2012111530000115	一见钟情	yī jiàn zhōng qíng
RECID=R2012111530000116	一见倾心	yī jiàn qīng xīn
RECID=R2012111530000117	一见喜	yī jiàn xǐ
RECID=R2012111530000118	一手	yī shǒu
RECID=R2012111530000119	一手一足	yī shǒu yī zú
RECID=R2012111530000120	一手一脚	yī shǒu yī jiǎo
RECID=R2012111530000121	一手包办	yī shǒu bāo bàn
RECID=R2012111530000122	一手托两家	yī shǒu tuō liǎng jiā
RECID=R2012111530000123	一手交钱，一手交货	yī shǒu jiāo qián yī shǒu jiāo huò
RECID=R2012111530000124	一手把	yī shǒu bǎ
RECID=R2012111530000125	一手遮天	yī shǒu zhē tiān
RECID=R2012111530000126	一毛不拔	yī máo bù bá
RECID=R2012111530000127	一气	yī qì
RECID=R2012111530000128	一气呵成	yī qì hē chéng
RECID=R2012111530000129	一长二短	yī cháng èr duǎn
RECID=R2012111530000130	一长两短	yī cháng liǎng duǎn
RECID=R2012111530000131	一长串	yī cháng chuàn
RECID=R2012111530000132	一长溜	yī cháng liù
RECID=R2012111530000133	一片	yī piàn
RECID=R2012111530000134	一片冰心在玉壶	yī piàn bīng xīn zài yù hú
RECID=R2012111530000135	一仍旧贯	yī réng jiù guàn
RECID=R2012111530000136	一反	yī fǎn
RECID=R2012111530000137	一反手	yī fǎn shǒu
RECID=R2012111530000138	一反常态	yī fǎn cháng tài
RECID=R2012111530000139	一介	yī jiè
RECID=R2012111530000140	一从	yī cóng
RECID=R2012111530000141	一分	(一)yī fēn;(二)yī fèn
RECID=R2012111530000142	一分一毫	yī fēn yī háo
RECID=R2012111530000143	一分子	yī fèn zǐ
RECID=R2012111530000144	一分为二	yī fēn wéi èr
RECID=R2012111530000145	一分钟小说	yī fēn zhōng xiǎo shuō
RECID=R2012111530000146	一分钱一分货	yī fēn qián yī fēn huò
RECID=R2012111530000147	一分钱掰成两半花	yī fēn qián bāi chéng liǎng bàn huā
RECID=R2012111530000148	一风吹	yī fēng chuī
RECID=R2012111530000149	一文不名	yī wén bù míng
RECID=R2012111530000150	一文不值	yī wén bù zhí
RECID=R2012111530000151	一文钱难倒英雄汉	yī wén qián nán dǎo yīng xióng hàn
RECID=R2012111530000152	一方	yī fāng
RECID=R2012111530000153	一方水土养一方人	yī fāng shuǐ tǔ yǎng yī fāng rén
RECID=R2012111530000154	一方有难八方支援	yī fāng yǒu nàn bā fāng zhī yuán
RECID=R2012111530000155	一方面	yī fāng miàn
RECID=R2012111530000156	一心	yī xīn
RECID=R2012111530000157	一心一计	yī xīn yī jì
RECID=R2012111530000158	一心一腹	yī xīn yī fù
RECID=R2012111530000159	一心一意	yī xīn yī yì
RECID=R2012111530000160	一心一德	yī xīn yī dé
RECID=R2012111530000161	一尺不如三寸近	yī chǐ bù rú sān cùn jìn
RECID=R2012111530000162	一孔之见	yī kǒng zhī jiàn
RECID=R2012111530000163	一正压百邪	yī zhèng yā bǎi xié
RECID=R2012111530000164	一扑心	yī pū xīn
RECID=R2012111530000165	一扑纳心	yī pū nà xīn
RECID=R2012111530000166	一去不复返	yī qù bù fù fǎn
RECID=R2012111530000167	一世	yī shì
RECID=R2012111530000168	一世界	yī shì jiè
RECID=R2012111530000169	一古脑儿	yī gǔ nǎor
RECID=R2012111530000170	一本万利	yī běn wàn lì
RECID=R2012111530000171	一本正经	yī běn zhèng jīng
RECID=R2012111530000172	一本通书看到老	yī běn tōng shū kàn dào lǎo
RECID=R2012111530000173	一本黄历看到老	yī běn huáng lì kàn dào lǎo
RECID=R2012111530000174	一石激起千层浪	yī shí jī qǐ qiān céng làng
RECID=R2012111530000175	一目十行	yī mù shí háng
RECID=R2012111530000176	一目了然	yī mù liǎo rán
RECID=R2012111530000177	一旦	yī dàn
RECID=R2012111530000178	一叶知秋	yī yè zhī qiū
RECID=R2012111530000179	一叶绿而知天下春	yī yè lǜ ér zhī tiān xià chūn
RECID=R2012111530000180	一叶障目，不见泰山	yī yè zhàng mù bù jiàn tài shān
RECID=R2012111530000181	一叶蔽目，不见泰山	yī yè bì mù bù jiàn tài shān
RECID=R2012111530000182	一生	yī shēng
RECID=R2012111530000183	一生一世	yī shēng yī shì
RECID=R2012111530000184	一生世	yī shēng shì
RECID=R2012111530000185	一失足成千古恨	yī shī zú chéng qiān gǔ hèn
RECID=R2012111530000186	一丘之貉	yī qiū zhī hé
RECID=R2012111530000187	一代	yī dài
RECID=R2012111530000188	一代不如一代	yī dài bù rú yī dài
RECID=R2012111530000189	一代冤家三世仇	yī dài yuān jia sān shì chóu
RECID=R2012111530000190	一代媒人三代丑	yī dài méi rén sān dài chǒu
RECID=R2012111530000191	一白遮百丑	yī bái zhē bǎi chǒu
RECID=R2012111530000192	一句好话三冬暖	yī jù hǎo huà sān dōng nuǎn
RECID=R2012111530000193	一句话	yī jù huà
RECID=R2012111530000194	一处不到一处迷	yī chù bù dào yī chù mí
RECID=R2012111530000195	一处不懂一处迷	yī chù bù dǒng yī chù mí
RECID=R2012111530000196	一处松，百处松	yī chù sōng bǎi chù sōng
RECID=R2012111530000197	一包在内	yī bāo zài nèi
RECID=R2012111530000198	一市八街	yī shì bā jiē
RECID=R2012111530000199	一闪明	yī shǎn míng
RECID=R2012111530000200	一闪念	yī shǎn niàn
RECID=R2012111530000201	一闪眼	yī shǎn yǎn
RECID=R2012111530000202	一半	yī bàn
RECID=R2012111530000203	一半天	yī bàn tiān
RECID=R2012111530000204	一头	yī tóu
RECID=R2012111530000205	一头儿沉	yī tóur chén
RECID=R2012111530000206	一头碰死南墙上	yī tóu pèng sǐ nán qiáng shang
RECID=R2012111530000207	一头碰南墙	yī tóu pèng nán qiáng
RECID=R2012111530000208	一头雾水	yī tóu wù shuǐ
RECID=R2012111530000209	一头撞在南墙上	yī tóu zhuàng zài nán qiáng shang
RECID=R2012111530000210	一边	yī biān
RECID=R2012111530000211	一边儿	yī biānr
RECID=R2012111530000212	一边倒	yī biān dǎo
RECID=R2012111530000213	一发	(一)yī fā;(二)yī fà
RECID=R2012111530000214	一发千钧	yī fà qiān jūn
RECID=R2012111530000215	一对	yī duì
RECID=R2012111530000216	一丝	yī sī
RECID=R2012111530000217	一丝一毫	yī sī yī háo
RECID=R2012111530000218	一丝不苟	yī sī bù gǒu
RECID=R2012111530000219	一丝不挂	yī sī bù guà
RECID=R2012111530000220	一丝两气	yī sī liǎng qì
RECID=R2012111530000221	一式	yī shì
RECID=R2012111530000222	一式一样	yī shì yī yàng
RECID=R2012111530000223	一动	yī dòng
RECID=R2012111530000224	一动不如一静	yī dòng bù rú yī jìng
RECID=R2012111530000225	一动不动	yī dòng bù dòng
RECID=R2012111530000226	一扫而光	yī sǎo ér guāng
RECID=R2012111530000227	一扫而空	yī sǎo ér kōng
RECID=R2012111530000228	一场空	yī cháng kōng
RECID=R2012111530000229	一场春梦	yī cháng chūn mèng
RECID=R2012111530000230	一场秋雨一场寒	yī cháng qiū yǔ yī cháng hán
RECID=R2012111530000231	一共	yī gòng
RECID=R2012111530000232	一再	yī zài
RECID=R2012111530000233	一百一	yī bǎi yī
RECID=R2012111530000234	一百八十度	yī bǎi bā shí dù
RECID=R2012111530000235	一百个	yī bǎi ge
RECID=R2012111530000236	一百零一	yī bǎi líng yī
RECID=R2012111530000237	一而二，二而一	yī ér èr èr ér yī
RECID=R2012111530000238	一而再，再而三	yī ér zài zài ér sān
RECID=R2012111530000239	一达	yī dá
RECID=R2012111530000240	一死儿	yī sǐr
RECID=R2012111530000241	一死的	yī sǐ de
RECID=R2012111530000242	一成不变	yī chéng bù biàn
RECID=R2012111530000243	一至于此	yī zhì yú cǐ
RECID=R2012111530000244	一尘	yī chén
RECID=R2012111530000245	一尘不染	yī chén bù rǎn
RECID=R2012111530000246	一早	yī zǎo
RECID=R2012111530000247	一吐为快	yī tǔ wéi kuài
RECID=R2012111530000248	一同	yī tóng
RECID=R2012111530000249	一团和气	yī tuán hé qì
RECID=R2012111530000250	一团麻	yī tuán má
RECID=R2012111530000251	一团漆黑	yī tuán qī hēi
RECID=R2012111530000252	一团糟	yī tuán zāo
RECID=R2012111530000253	一帆风顺	yī fān fēng shùn
RECID=R2012111530000254	一回生，二回熟	yī huí shēng èr huí shóu
RECID=R2012111530000255	一则	yī zé
RECID=R2012111530000256	一网打尽	yī wǎng dǎ jìn
RECID=R2012111530000257	一年之计在于春	yī nián zhī jì zài yú chūn
RECID=R2012111530000258	一年四季	yī nián sì jì
RECID=R2012111530000259	一年生	yī nián shēng
RECID=R2012111530000260	一年半载	yī nián bàn zǎi
RECID=R2012111530000261	一年到头	yī nián dào tóu
RECID=R2012111530000262	一年被蛇咬，三年怕井绳	yī nián bèi shé yǎo sān nián
RECID=R2012111530000263	一竹篙打一船人	yī zhú gāo dǎ yī chuán rén
RECID=R2012111530000264	一传十，十传百	yī chuán shí shí chuán bǎi
RECID=R2012111530000265	一任	yī rèn
RECID=R2012111530000266	一伙	yī huǒ
RECID=R2012111530000267	一自	yī zì
RECID=R2012111530000268	一向	yī xiàng
RECID=R2012111530000269	一似	yī sì
RECID=R2012111530000270	一行	(一)yī xíng;(二)yī háng
RECID=R2012111530000271	一会	yī huì
RECID=R2012111530000272	一众	yī zhòng
RECID=R2012111530000273	一色	yī sè
RECID=R2012111530000274	一齐	yī qí
RECID=R2012111530000275	一次方程	yī cì fāng chéng
RECID=R2012111530000276	一次电池	yī cì diàn chí
RECID=R2012111530000277	一次污染物	yī cì wū rǎn wù
RECID=R2012111530000278	一次性	yī cì xìng
RECID=R2012111530000279	一次能源	yī cì néng yuán
RECID=R2012111530000280	一衣带水	yī yī dài shuǐ
RECID=R2012111530000281	一决雌雄	yī jué cí xióng
RECID=R2012111530000282	一问三不知	yī wèn sān bù zhī
RECID=R2012111530000283	一并	yī bìng
RECID=R2012111530000284	一字一句	yī zì yī jù
RECID=R2012111530000285	一字一板	yī zì yī bǎn
RECID=R2012111530000286	一字千金	yī zì qiān jīn
RECID=R2012111530000287	一字长蛇阵	yī zì cháng shé zhèn
RECID=R2012111530000288	一字师	yī zì shī
RECID=R2012111530000289	一阵	yī zhèn
RECID=R2012111530000290	一阵风	yī zhèn fēng
RECID=R2012111530000291	一如	yī rú
RECID=R2012111530000292	一如既往	yī rú jì wǎng
RECID=R2012111530000293	一好遮百丑	yī hǎo zhē bǎi chǒu
RECID=R2012111530000294	一刬	yī chàn
RECID=R2012111530000295	一走了之	yī zǒu liǎo zhī
RECID=R2012111530000296	一技之长	yī jì zhī cháng
RECID=R2012111530000297	一报还一报	yī bào huán yī bào
RECID=R2012111530000298	一块	yī kuài
RECID=R2012111530000299	一块土	yī kuài tǔ
RECID=R2012111530000300	一块石头落地	yī kuài shí tou luò dì
RECID=R2012111530000301	一块堆	yī kuài duī
RECID=R2012111530000302	一把子	yī bǎ zi
RECID=R2012111530000303	一把手	yī bǎ shǒu
RECID=R2012111530000304	一把死拿	yī bǎ sǐ ná
RECID=R2012111530000305	一把抓	yī bǎ zhuā
RECID=R2012111530000306	一把钥匙开一把锁	yī bǎ yào shi kāi yī bǎ suǒ
RECID=R2012111530000307	一花引来百花香	yī huā yǐn lái bǎi huā xiāng
RECID=R2012111530000308	一花独放	yī huā dú fàng
RECID=R2012111530000309	一劳永逸	yī láo yǒng yì
RECID=R2012111530000310	一杆子	yī gān zi
RECID=R2012111530000311	一来	yī lái
RECID=R2012111530000312	一来二去	yī lái èr qù
RECID=R2012111530000313	一连	yī lián
RECID=R2012111530000314	一连气	yī lián qì
RECID=R2012111530000315	一连串	yī lián chuàn
RECID=R2012111530000316	一连叠	yī lián dié
RECID=R2012111530000317	一步	yī bù
RECID=R2012111530000318	一步一个脚印	yī bù yī ge jiǎo yìn
RECID=R2012111530000319	一步一趋	yī bù yī qū
RECID=R2012111530000320	一步不顺百步不顺	yī bù bù shùn bǎi bù bù shùn
RECID=R2012111530000321	一步不顺步步碰	yī bù bù shùn bù bù pèng
RECID=R2012111530000322	一步失脚百步错	yī bù shī jiǎo bǎi bù cuò
RECID=R2012111530000323	一步近，两步远	yī bù jìn liǎng bù yuǎn
RECID=R2012111530000324	一步到位	yī bù dào wèi
RECID=R2012111530000325	一步裙	yī bù qún
RECID=R2012111530000326	一步登天	yī bù dēng tiān
RECID=R2012111530000327	一步错，不能百步歪	yī bù cuò bù néng bǎi bù wāi
RECID=R2012111530000328	一步错，步步错	yī bù cuò bù bù cuò
RECID=R2012111530000329	一时	yī shí
RECID=R2012111530000330	一时一刻	yī shí yī kè
RECID=R2012111530000331	一时三刻	yī shí sān kè
RECID=R2012111530000332	一时半会儿	yī shí bàn huìr
RECID=R2012111530000333	一时半刻	yī shí bàn kè
RECID=R2012111530000334	一时半晌	yī shí bàn shǎng
RECID=R2012111530000335	一时间	yī shí jiān
RECID=R2012111530000336	一男半女	yī nán bàn nǚ
RECID=R2012111530000337	一串红	yī chuàn hóng
RECID=R2012111530000338	一听	yī tīng
RECID=R2012111530000339	一针一线	yī zhēn yī xiàn
RECID=R2012111530000340	一针见血	yī zhēn jiàn xiě
RECID=R2012111530000341	一钉点	yī dīng diǎn
RECID=R2012111530000342	一体	yī tǐ
RECID=R2012111530000343	一身	yī shēn
RECID=R2012111530000344	一身两役	yī shēn liǎng yì
RECID=R2012111530000345	一身是胆	yī shēn shì dǎn
RECID=R2012111530000346	一佛出世，二佛升天	yī fó chū shì èr fó shēng tiān
RECID=R2012111530000347	一佛出世，二佛涅槃	yī fó chū shì èr fó niè pán
RECID=R2012111530000348	一肚子	yī dù zi
RECID=R2012111530000349	一肚皮	yī dù pí
RECID=R2012111530000350	一条心	yī tiáo xīn
RECID=R2012111530000351	一条龙	yī tiáo lóng
RECID=R2012111530000352	一条扁担两头挑	yī tiáo biǎn dan liǎng tóu tiāo
RECID=R2012111530000353	一条街	yī tiáo jiē
RECID=R2012111530000354	一条道走到黑	yī tiáo dào zǒu dào hēi
RECID=R2012111530000355	一条道跑到黑	yī tiáo dào pǎo dào hēi
RECID=R2012111530000356	一条藤儿	yī tiáo téngr
RECID=R2012111530000357	一条鞭	yī tiáo biān
RECID=R2012111530000358	一系列	yī xì liè
RECID=R2012111530000359	一言九鼎	yī yán jiǔ dǐng
RECID=R2012111530000360	一言为定	yī yán wéi dìng
RECID=R2012111530000361	一言以蔽之	yī yán yǐ bì zhī
RECID=R2012111530000362	一言半语	yī yán bàn yǔ
RECID=R2012111530000363	一言既出，驷马难追	yī yán jì chū sì mǎ nán zhuī
RECID=R2012111530000364	一言难尽	yī yán nán jìn
RECID=R2012111530000365	一言堂	yī yán táng
RECID=R2012111530000366	一应	yī yīng
RECID=R2012111530000367	一应俱全	yī yīng jù quán
RECID=R2012111530000368	一穷二白	yī qióng èr bái
RECID=R2012111530000369	一屁股	yī pì gu
RECID=R2012111530000370	一劲	yī jìn
RECID=R2012111530000371	一纸空文	yī zhǐ kōng wén
RECID=R2012111530000372	一表	yī biǎo
RECID=R2012111530000373	一表人材	yī biǎo rén cái
RECID=R2012111530000374	一表堂堂	yī biǎo táng táng
RECID=R2012111530000375	一抹平	yī mǒ píng
RECID=R2012111530000376	一抹黑	yī mǒ hēi
RECID=R2012111530000377	一拃	yī zhǎ
RECID=R2012111530000378	一拍两散	yī pāi liǎng sàn
RECID=R2012111530000379	一拍即合	yī pāi jí hé
RECID=R2012111530000380	一者	yī zhě
RECID=R2012111530000381	一势	yī shì
RECID=R2012111530000382	一拉溜	yī lā liù
RECID=R2012111530000383	一拧身	yī níng shēn
RECID=R2012111530000384	一招	yī zhāo
RECID=R2012111530000385	一招鲜，吃遍天	yī zhāo xiān chī biàn tiān
RECID=R2012111530000386	一拨	yī bō
RECID=R2012111530000387	一若	yī ruò
RECID=R2012111530000388	一直	yī zhí
RECID=R2012111530000389	一板一眼	yī bǎn yī yǎn
RECID=R2012111530000390	一板三眼	yī bǎn sān yǎn
RECID=R2012111530000391	一枕黄粱	yī zhěn huáng liáng
RECID=R2012111530000392	一事	yī shì
RECID=R2012111530000393	一事无成	yī shì wú chéng
RECID=R2012111530000394	一码子	yī mǎ zi
RECID=R2012111530000395	一码新	yī mǎ xīn
RECID=R2012111530000396	一转手	yī zhuǎn shǒu
RECID=R2012111530000397	一转念	yī zhuǎn niàn
RECID=R2012111530000398	一转眼	yī zhuǎn yǎn
RECID=R2012111530000399	一斩齐	yī zhǎn qí
RECID=R2012111530000400	一轰而上	yī hōng ér shàng
RECID=R2012111530000401	一些	yī xiē
RECID=R2012111530000402	一虎口	yī hǔ kǒu
RECID=R2012111530000403	一味	yī wèi
RECID=R2012111530000404	一国三公	yī guó sān gōng
RECID=R2012111530000405	一国两制	yī guó liǎng zhì
RECID=R2012111530000406	一咕碌	yī gū lu
RECID=R2012111530000407	一呵而就	yī hē ér jiù
RECID=R2012111530000408	一呱声	yī guā shēng
RECID=R2012111530000409	一呼百应	yī hū bǎi yìng
RECID=R2012111530000410	一呼百诺	yī hū bǎi nuò
RECID=R2012111530000411	一鸣惊人	yī míng jīng rén
RECID=R2012111530000412	一败如水	yī bài rú shuǐ
RECID=R2012111530000413	一败涂地	yī bài tú dì
RECID=R2012111530000414	一知半解	yī zhī bàn jiě
RECID=R2012111530000415	一迭声	yī dié shēng
RECID=R2012111530000416	一迭连	yī dié lián
RECID=R2012111530000417	一物降一物	yī wù xiáng yī wù
RECID=R2012111530000418	一刮两响	yī guā liǎng xiǎng
RECID=R2012111530000419	一例	yī lì
RECID=R2012111530000420	一往无前	yī wǎng wú qián
RECID=R2012111530000421	一往情深	yī wǎng qíng shēn
RECID=R2012111530000422	一径	yī jìng
RECID=R2012111530000423	一刹	yī chà
RECID=R2012111530000424	一刹那	yī chà nà
RECID=R2012111530000425	一命归西	yī mìng guī xī
RECID=R2012111530000426	一命呜呼	yī mìng wū hū
RECID=R2012111530000427	一念之差	yī niàn zhī chā
RECID=R2012111530000428	一贫如洗	yī pín rú xǐ
RECID=R2012111530000429	一股劲	yī gǔ jìn
RECID=R2012111530000430	一股拢总	yī gǔ lǒng zǒng
RECID=R2012111530000431	一股脑儿	yī gǔ nǎor
RECID=R2012111530000432	一忽	yī hū
RECID=R2012111530000433	一忽闪	yī hū shǎn
RECID=R2012111530000434	一忽拉	yī hū lā
RECID=R2012111530000435	一忽忽	yī hū hū
RECID=R2012111530000436	一忽溜	yī hū liū
RECID=R2012111530000437	一夜夫妻百夜恩	yī yè fū qī bǎi yè ēn
RECID=R2012111530000438	一刻	yī kè
RECID=R2012111530000439	一刻千金	yī kè qiān jīn
RECID=R2012111530000440	一波三折	yī bō sān zhé
RECID=R2012111530000441	一波未平，一波又起	yī bō wèi píng yī bō yòu qǐ
RECID=R2012111530000442	一泻千里	yī xiè qiān lǐ
RECID=R2012111530000443	一泼滩	yī pō tān
RECID=R2012111530000444	一怔	yī zhèng
RECID=R2012111530000445	一定	yī dìng
RECID=R2012111530000446	一定之规	yī dìng zhī guī
RECID=R2012111530000447	一官半职	yī guān bàn zhí
RECID=R2012111530000448	一空依傍	yī kōng yī bàng
RECID=R2012111530000449	一视同仁	yī shì tóng rén
RECID=R2012111530000450	一线	yī xiàn
RECID=R2012111530000451	一经	yī jīng
RECID=R2012111530000452	一贯	yī guàn
RECID=R2012111530000453	一贯制	yī guàn zhì
RECID=R2012111530000454	一贯道	yī guàn dào
RECID=R2012111530000455	一帮	yī bāng
RECID=R2012111530000456	一挥而就	yī huī ér jiù
RECID=R2012111530000457	一带	yī dài
RECID=R2012111530000458	一草一木	yī cǎo yī mù
RECID=R2012111530000459	一相情愿	yī xiāng qíng yuàn
RECID=R2012111530000460	一柱擎天	yī zhù qíng tiān
RECID=R2012111530000461	一面	yī miàn
RECID=R2012111530000462	一面之交	yī miàn zhī jiāo
RECID=R2012111530000463	一面之词	yī miàn zhī cí
RECID=R2012111530000464	一面之缘	yī miàn zhī yuán
RECID=R2012111530000465	一面之辞	yī miàn zhī cí
RECID=R2012111530000466	一面打墙两面光	yī miàn dǎ qiáng liǎng miàn guāng
RECID=R2012111530000467	一面理	yī miàn lǐ
RECID=R2012111530000468	一点	yī diǎn
RECID=R2012111530000469	一点一滴	yī diǎn yī dī
RECID=R2012111530000470	一点点	yī diǎn diǎn
RECID=R2012111530000471	一览	yī lǎn
RECID=R2012111530000472	一览无余	yī lǎn wú yú
RECID=R2012111530000473	一览表	yī lǎn biǎo
RECID=R2012111530000474	一是一，二是二	yī shì yī èr shì èr
RECID=R2012111530000475	一眨眼	yī zhǎ yǎn
RECID=R2012111530000476	一哇声	yī wā shēng
RECID=R2012111530000477	一哄而上	yī hōng ér shàng
RECID=R2012111530000478	一哄而起	yī hōng ér qǐ
RECID=R2012111530000479	一哄而散	yī hòng ér sàn
